Feature ID,Feature Name,Feature count topic 1to6,Feature log2 fold change topic 1to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,24,1.90898,0,-4.8708,12,-0.7828
ENSG00000188976,NOC2L,50,1.66111,8,-2.4282,23,-0.9357
ENSG00000188290,HES4,73,-0.7864,183,1.31745,71,-0.3229
ENSG00000187608,ISG15,83,-0.6801,175,1.04233,93,-0.0559
ENSG00000188157,AGRN,33,0.29499,14,-1.2406,40,0.37863
ENSG00000078808,SDF4,72,-0.2975,61,-0.3480,116,0.71280
ENSG00000176022,B3GALT6,41,0.85839,27,-0.4563,18,-1.1367
ENSG00000160087,UBE2J2,44,0.99533,2,-4.3035,42,0.14080
ENSG00000131584,ACAP3,103,0.51659,83,-0.2189,60,-0.7230
ENSG00000127054,INTS11,47,-0.1565,37,-0.4141,67,0.56090
ENSG00000224051,CPTP,33,-0.4187,59,0.82239,31,-0.2601
ENSG00000107404,DVL1,68,0.13413,58,-0.2215,66,-0.0155
ENSG00000175756,AURKAIP1,172,0.07255,122,-0.5394,206,0.31833
ENSG00000221978,CCNL2,47,0.37110,27,-0.7661,45,0.03177
ENSG00000242485,MRPL20,185,0.53537,91,-1.0050,165,-0.0597
ENSG00000235098,ANKRD65,16,0.05159,0,-4.7298,30,1.12852
ENSG00000179403,VWA1,30,-1.8568,29,-0.8540,192,2.65561
ENSG00000197785,ATAD3A,16,-0.6040,30,0.83309,20,0.10779
ENSG00000205090,TMEM240,48,1.09158,27,-0.6924,18,-1.3224
ENSG00000160075,SSU72,153,0.68627,113,-0.3366,77,-0.9249
ENSG00000228594,FNDC10,47,0.38444,47,0.08881,25,-0.8910
ENSG00000272106,AL691432.2,29,0.47705,21,-0.3529,20,-0.4851
ENSG00000197530,MIB2,45,0.27687,43,0.00771,31,-0.5273
ENSG00000189339,SLC35E2B,29,1.56877,0,-5.1986,19,-0.4090
ENSG00000215790,SLC35E2A,20,-0.4435,40,1.03092,15,-0.6030
ENSG00000008130,NADK,29,0.08021,31,0.16193,23,-0.3320
ENSG00000078369,GNB1,414,0.65150,290,-0.4214,237,-0.7424
ENSG00000187730,GABRD,122,1.88210,47,-1.2009,19,-2.5125
ENSG00000067606,PRKCZ,228,1.08727,118,-0.8237,96,-1.1387
ENSG00000162585,FAAP20,60,0.24464,35,-0.8054,66,0.23584
ENSG00000157933,SKI,37,0.62117,26,-0.4406,22,-0.6606
ENSG00000157916,RER1,56,-0.1949,27,-1.2286,103,0.97066
ENSG00000157911,PEX10,35,-0.0615,31,-0.2212,42,0.29259
ENSG00000149527,PLCH2,15,0.38639,0,-4.8160,23,0.79060
ENSG00000197921,HES5,22,0.74342,11,-0.8507,14,-0.4844
ENSG00000157870,PRXL2B,59,0.38617,68,0.34952,22,-1.4641
ENSG00000177133,PRDM16-DT,25,-0.1090,34,0.47679,20,-0.3852
ENSG00000158109,TPRG1L,139,0.95995,92,-0.4519,50,-1.3889
ENSG00000130764,LRRC47,65,-0.1438,91,0.51102,54,-0.3624
ENSG00000196581,AJAP1,29,4.61628,0,-5.4221,1,-3.8092
ENSG00000069424,KCNAB2,208,1.16782,145,-0.3402,39,-2.3209
ENSG00000116254,CHD5,140,1.19848,93,-0.4099,28,-2.2204
ENSG00000116251,RPL22,528,-0.9904,1219,1.07288,882,0.49235
ENSG00000116237,ICMT,35,-0.0385,57,0.84640,14,-1.4203
ENSG00000097021,ACOT7,233,1.47000,109,-0.9358,59,-1.8579
ENSG00000215788,TNFRSF25,23,0.47642,30,0.57892,3,-3.0108
ENSG00000171680,PLEKHG5,23,1.14836,13,-0.6318,7,-1.5568
ENSG00000162408,NOL9,32,1.49555,4,-2.6840,18,-0.6400
ENSG00000162413,KLHL21,24,-0.2208,18,-0.5328,39,0.71459
ENSG00000041988,THAP3,22,0.64187,5,-2.1604,23,0.24815
ENSG00000007923,DNAJC11,39,1.19065,20,-0.8059,14,-1.3842
ENSG00000171735,CAMTA1,191,0.11018,238,0.40301,115,-0.7746
ENSG00000049245,VAMP3,21,-2.1581,78,1.22249,109,1.90171
ENSG00000049246,PER3,20,0.39819,6,-1.8212,25,0.44720
ENSG00000116288,PARK7,364,-0.0157,313,-0.2510,423,0.24599
