Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,11,-1.4448,37,0.39759,31,0.13835,45,0.65529,20,-0.6553
ENSG00000188976,NOC2L,32,-0.7919,80,0.76578,51,-0.1246,68,0.40648,35,-0.6920
ENSG00000188290,HES4,239,1.56713,67,-0.5824,85,-0.2673,85,-0.1761,79,-0.3126
ENSG00000187608,ISG15,221,1.13788,107,-0.0711,99,-0.2847,84,-0.4442,104,-0.1138
ENSG00000188157,AGRN,34,-0.0673,50,0.59624,37,0.05235,9,-2.0407,34,-0.0758
ENSG00000078808,SDF4,86,-0.1797,125,0.47627,85,-0.3193,105,0.12977,97,0.01806
ENSG00000176022,B3GALT6,29,-0.3677,42,0.24575,33,-0.2957,56,0.65553,36,-0.0266
ENSG00000160087,UBE2J2,35,-0.6290,67,0.42430,50,-0.1337,71,0.45965,46,-0.2549
ENSG00000131584,ACAP3,62,-0.6507,113,0.31242,98,0.07760,71,-0.4544,98,0.05840
ENSG00000127054,INTS11,56,-0.0333,69,0.31643,50,-0.3547,82,0.56243,54,-0.1072
ENSG00000224051,CPTP,21,-0.7384,39,0.20345,34,-0.0679,46,0.45143,33,-0.0519
ENSG00000107404,DVL1,75,-0.0606,70,-0.1939,72,-0.2160,102,0.42125,92,0.29306
ENSG00000175756,AURKAIP1,171,0.09608,126,-0.4249,184,0.37849,116,-0.5115,156,-0.0584
ENSG00000221978,CCNL2,71,0.64258,57,0.33003,41,-0.3553,48,0.03268,42,-0.2291
ENSG00000242485,MRPL20,199,0.12659,152,-0.3288,197,0.19101,196,0.09637,169,-0.1470
ENSG00000235098,ANKRD65,26,0.10703,21,-0.2595,23,-0.1564,31,0.37816,28,0.20013
ENSG00000179403,VWA1,35,-0.1761,37,-0.1333,19,-1.5224,42,0.07303,95,1.76439
ENSG00000197785,ATAD3A,8,-1.0086,27,0.95448,14,-0.3433,13,-0.2526,15,-0.0396
ENSG00000205090,TMEM240,31,-0.6496,62,0.52287,48,0.07248,48,0.05682,35,-0.4875
ENSG00000160075,SSU72,175,-0.2106,219,0.15285,230,0.38370,149,-0.4666,148,-0.5226
ENSG00000228594,FNDC10,31,-0.3509,43,0.21262,33,-0.3723,63,0.79018,39,0.01572
ENSG00000272106,AL691432.2,15,-0.9757,26,-0.1386,33,0.43625,12,-1.2643,33,0.29056
ENSG00000197530,MIB2,29,-0.6691,48,0.09321,48,0.15334,67,0.64377,33,-0.5337
ENSG00000189339,SLC35E2B,21,-0.6207,36,0.21798,34,0.23989,26,-0.3005,28,-0.1960
ENSG00000215790,SLC35E2A,2,-3.3299,21,-0.3077,33,0.82281,16,-0.7303,26,0.03342
ENSG00000008130,NADK,48,0.62625,35,0.12618,31,-0.1337,29,-0.2083,29,-0.2248
ENSG00000078369,GNB1,291,-0.6774,524,0.27742,497,0.27871,427,-0.0808,346,-0.4506
ENSG00000187730,GABRD,56,-1.2746,150,0.28240,161,0.68634,108,-0.2677,69,-1.0320
ENSG00000067606,PRKCZ,78,-1.4220,229,0.26086,220,0.29323,218,0.15442,162,-0.3511
ENSG00000162585,FAAP20,46,0.05376,37,-0.3479,37,-0.4758,60,0.45898,65,0.67427
ENSG00000157933,SKI,36,-0.3333,31,-0.6179,36,-0.5299,128,1.80065,43,-0.0604
ENSG00000157916,RER1,83,0.14222,79,0.06367,80,0.12011,51,-0.6200,74,-0.0592
ENSG00000157911,PEX10,16,-0.9689,28,-0.1026,35,0.46211,18,-0.7589,31,0.07503
ENSG00000149527,PLCH2,5,-2.6413,34,0.25467,42,1.11743,5,-2.4395,18,-0.8072
ENSG00000157881,PANK4,18,-0.1130,21,0.12701,18,-0.2451,37,1.06073,14,-0.5142
ENSG00000197921,HES5,8,-1.7821,20,-0.4103,24,-0.1611,22,-0.2255,46,1.10018
ENSG00000157870,PRXL2B,49,-0.6039,99,0.56085,76,0.12868,35,-1.1078,68,-0.1144
ENSG00000177133,PRDM16-DT,25,-0.0016,11,-1.2896,22,-0.3901,28,0.15527,47,1.19339
ENSG00000158109,TPRG1L,154,-0.4016,253,0.43876,213,0.18544,157,-0.3681,153,-0.4528
ENSG00000116213,WRAP73,13,-0.2205,16,0.16046,15,0.00405,16,0.15532,13,-0.1531
ENSG00000130764,LRRC47,36,-0.9142,99,0.78068,58,-0.2823,58,-0.1665,66,0.02981
ENSG00000116198,CEP104,24,0.24932,19,-0.1802,13,-0.9673,58,1.74297,20,-0.0158
ENSG00000196581,AJAP1,10,-2.1240,44,0.13857,50,0.58244,41,0.00503,30,-0.5134
ENSG00000069424,KCNAB2,161,-0.8291,261,-0.0919,339,0.61074,253,-0.1323,198,-0.5647
ENSG00000116254,CHD5,78,-1.1895,190,0.20917,182,0.19217,221,0.43062,137,-0.3654
ENSG00000116251,RPL22,1237,0.92494,398,-0.9547,611,-0.3585,809,0.21986,928,0.50166
ENSG00000116237,ICMT,26,-0.5689,46,0.32499,46,0.52822,27,-0.5153,22,-0.8778
ENSG00000158292,GPR153,2,-3.3430,21,-0.0937,21,-0.2212,61,1.69719,19,-0.2639
ENSG00000097021,ACOT7,133,-0.7973,292,0.49757,257,0.40427,161,-0.5026,142,-0.7545
ENSG00000215788,TNFRSF25,16,-0.5509,23,0.04583,30,0.85418,6,-1.9633,15,-0.6575
ENSG00000171680,PLEKHG5,25,-0.5493,45,0.39697,43,0.52912,26,-0.4667,19,-1.0618
ENSG00000162408,NOL9,22,-1.0185,53,0.35669,34,-0.5726,91,1.23508,43,-0.0002
ENSG00000162413,KLHL21,18,-1.1535,36,-0.0804,36,-0.1389,68,0.94126,40,0.09142
ENSG00000116273,PHF13,15,-0.5447,31,0.72699,20,-0.1276,19,-0.1757,17,-0.3001
ENSG00000041988,THAP3,9,-1.1997,22,0.14548,23,0.45396,23,0.24658,13,-0.6789
ENSG00000007923,DNAJC11,17,-1.1142,50,0.56390,39,0.18007,28,-0.3945,30,-0.3072
ENSG00000171735,CAMTA1,195,-0.1206,216,0.04559,207,-0.0430,247,0.25072,204,-0.0600
ENSG00000049245,VAMP3,79,1.33377,23,-0.7457,17,-1.5953,46,0.41958,68,1.26113
ENSG00000049246,PER3,26,-0.5532,31,-0.3043,39,0.07439,24,-0.6928,53,0.64640
ENSG00000116288,PARK7,356,-0.0113,290,-0.3666,377,0.13853,353,-0.0243,384,0.12224
ENSG00000116285,ERRFI1,81,2.06980,24,-0.0651,19,-0.6015,16,-0.6238,15,-0.7929
ENSG00000162426,SLC45A1,20,-0.4822,49,1.07271,23,-0.4343,17,-0.7784,27,-0.0361
ENSG00000142599,RERE,66,-0.9680,120,-0.0639,140,0.32111,154,0.34159,105,-0.2930
ENSG00000074800,ENO1,481,-0.4574,632,-0.0339,684,0.16371,589,-0.1422,666,0.05814
ENSG00000171612,SLC25A33,16,-1.2582,33,-0.2115,36,-0.1007,36,-0.0316,56,0.75293
ENSG00000188807,TMEM201,1,-3.6016,22,0.59216,16,-0.0139,20,0.37309,15,-0.0763
ENSG00000171603,CLSTN1,406,-0.6835,961,0.78598,634,0.01680,534,-0.2602,450,-0.5742
ENSG00000178585,CTNNBIP1,32,-0.0876,45,0.48443,25,-0.7068,33,-0.0586,48,0.59446
