"cluster","E2E2_E4E4","E3E4_E4E4","E2E3_E4E4","E2E2_E3E4","E2E2_E2E3","E2E3_E3E4","anyE2_E4E4","anyE2_anyE4","E2E2_anyE4","E2E3_anyE4","E4E4_other","Sex","Anc"
"Vasc_Sp09D08",684,458,1,1953,1585,440,15,387,1507,2,14,10,3
"L1_Sp09D05",0,43,0,19,0,73,0,1,0,8,0,451,6
"L2.3_Sp09D01",213,95,0,1582,356,757,0,92,1049,0,0,1313,132
"LD_Sp09D02",0,1120,0,1196,446,3308,0,302,361,214,0,1900,788
"Inhib_Sp09D09",2,18,0,642,15,401,1,6,179,0,0,671,40
"L5_Sp09D03",167,87,0,1604,810,2185,0,384,992,7,0,578,297
"L6_Sp09D04",13,19,0,1221,11,175,1,553,441,0,2,5,7
"WM.uf_Sp09D07",0,6,38,5,0,475,0,211,0,240,0,3,3
"WM_Sp09D06",0,1,0,1,5,18,0,0,0,4,0,359,35
