"cluster","carrier","E4E4","apoe_E2E2_E4E4","apoe_E3E4_E4E4","apoe_E2E3_E4E4","apoe_E2E2_E3E4","apoe_E2E2_E2E3","apoe_E2E3_E3E4","anyE2_E4E4","E2E2_anyE4","E2E3_anyE4","Sex","Anc"
"Vasc_Sp09D08",35,2,59,25,0,651,322,15,1,379,2,7,0
"L1_Sp09D05",1,0,0,2,0,0,0,2,0,0,1,12,0
"L2.3_Sp09D01",0,0,5,0,0,381,4,0,0,101,0,70,14
"LD_Sp09D02",0,0,0,7,0,98,6,731,0,1,2,350,12
"Inhib_Sp09D09",1,0,0,0,0,23,0,3,0,0,0,1,3
"L5_Sp09D03",8,0,1,0,0,382,79,57,0,160,1,3,2
"L6_Sp09D04",10,0,0,0,0,180,1,0,0,20,0,2,2
"WM.uf_Sp09D07",15,0,0,0,1,0,0,76,0,0,32,2,0
"WM_Sp09D06",0,0,0,0,0,0,0,2,0,0,0,17,2
