"cluster","carrier_AA","carrier_EA","anc_E2","anc_E4"
"Astro",41,0,2,16
"Macro",0,0,0,0
"Micro",0,1,2,8
"OPC",0,1,1,1
"Oligo",0,0,6,12
"Vasc",1,1,0,0
"Excit",0,0,0,0
"Inhib",0,0,0,4
